,Text,,
203,"This is a ""don't believe the tv"" story, because Trump didn't say that. lol. What you're trying to say is ""For accurate up-to-date information on the corona virus, go to http://cdc.gov""",,
204,Seems reckless and based on zero scientific advice. I?ôll skip the takeout. Last thing I need is a case of Coronavirus with my fries. ,,
205,The Squad?ôs attempt to socialize banking system via coronavirus stimulus https://libertyunyielding.com/2020/03/24/the-squads-attempt-to-socialize-banking-system-via-coronavirus-stimulus/ via @LUnyielding,,
206,Dr Fauci should have made that declaration when Trump said the Coronavirus was like the flu.,,
207,Biden struggling to break through in coronavirus crisis ,,
208,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
209,thinking about how i tweeted this a couple of weeks ago and then kylie jenner actually said the words ?úthe corona virus is a real thing??on her instagram story... my life isn?ôt real ,,
210,Remember in The Hangover when Alan says ?úThanks a lot Bin Laden?? I?ôm going to start using that phrase anytime anything goes wrong in the rest of 2020 but replacing Bin Laden with Coronavirus.,,
211,"Florida Governor: Governor Ron DeSantis: Suspend Rent, Mortgage, & Utility Payments During the Coronavirus - Sign the Petition! http://chng.it/d7qvSptZ via @Change",,
212,#coronavirus #CoronavirusLockdown,,
213,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
214,?ì£Please Stay Home?ºÔ∏è?ºÔ∏è?ºÔ∏è ?ì£Help Stop The Spread The Virus?ºÔ∏è?ºÔ∏è?ºÔ∏è ?ì£Practice Social Distancing ?ºÔ∏è?ºÔ∏è?ºÔ∏è ?ì£Stay Safe #News #STAYATHOME #StopTheVirus #CoronaVirus #SocialDistancing #Florida #Covid19 #washyourhands??https://www.instagram.com/p/B-IrAM5Hkxc/?igshid=1mp8l0io7gvr9,,
215,Coronavirus has caused me a lot of pain but the push back of a May wedding to UW Michigan weekend is devastating on an entirely different level,,
216,"I never once claimed California was not taking steps regarding the coronavirus. Thanks for the straw, man.",,
217,How many just had the flu? It is an unmistakable illness. Those same people will now get the Corona virus.,,
218,"I?ôm hoping to see my parents again after this pandemic is over ( they?ôre in Assisted Living) and I wouldn?ôt trade that for 10,000 Dow Jones points. #coronavirus",,
219,Coronavirus Pandemic: President Trump Virtual Town Hall | ,,
220,#ChineseVirus #LockDownKenya #21daysLockdown #ChineseBioWeapon #ChineseVirus #coronavirus #CoronavirusNewYork #CoronavirusLockdown,,
221,corona virus por favor fa√ßa pelo menos uma boa a√ß√£o e leve o bolsonaro com voc√™,,
222,This Coronavirus getting to people heads,,
223,Free Drive-Thru Coronavirus Testing To Be Available Today In Sac County ,,
224,Joe Biden Against Canceling Democrat Convention Despite Coronavirus Pandemic ,,
225,Now watch Booger McTrumpland walk back on his ?òlet?ôs get everyone infected with #coronavirus in 15 days??idea #KAG @realDonaldTrump,,
226,"So, Coronavirus ruins everything... Great. ",,
227,"Thanks, Jeff! Yes, revisiting our old fear of the Russians can take the new fear of coronavirus off our minds!",,
228,"I like how on some of these dating apps, people are sending screenshots of their Corona Virus results?!?!!! ?ò≥?•¥?πÔ∏è Like No Mam No Sir I?ôm not taking any risk! I?ôm out of here!!!! #StayAtHomeOrder #CoronavirusLockdown #CoronavirusPandemic",,
229,Texas Officials Halt Medically Unnecessary Abortions During Coronavirus | Breitbart ,,
230,Kida like Coronavirus?,,
231,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
232,"Airlines want a #coronavirus bailout, but greed helped get them into this mess ",,
233,"Are you and trump saying the Coronavirus will be gone by Easter Sunday to appeal to your evangelical idiots who think he is the second cumming? If you are that is a sin, thousands of Americans will die because you want votes",,
234,Coronavirus spreading in New York like 'a bullet train' ,,
235,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
236,Missouri Walmart Coronavirus Licker Charged With 'Terrorist Threat' ,,
237,"#BreakingNews* Globally: 420,729 cases of #coronavirus #COVID19 and 18,800 deaths... USA: 53,358 cases and 695 deaths across the United States... *Cases of #COVID19 have topped 53,000 in U.S.... Follow @Mybudgetadviser for #CoronavirusOutbreak",,
238,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
239,you don't? you got tested then? you must be famous and I didn't know. And the coronavirus was around weeks ago.,,
240,Dave makes me miss Atlanta so damn much. I hate you #coronavirus ,,
241,The coronavirus isn?ôt alive. That?ôs why it?ôs so hard to kill. ,,
242,FUCK THE CORONAVIRUS WE GOT BIGGER PROBLEMS,,
243,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
244,"I like know why will it take New York City to build a coronavirus hospital in their large convention center one week to ten days when it took India army two days pop up tenets for 1,000 bed hospital and it took China one week to build a complete hospital New York got building",,
245,Texas Officials Halt Medically Unnecessary Abortions During Coronavirus ,,
246,"Cada que me duele el pecho pienso que es coronavirus, pero luego me duele el cuello tambi√©n y me doy cuenta que s√≥lo es ansiedad y estr√©s y todo bien ?òä",,
247,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
248,FDA approves first US #coronavirus treatment: Doctors across the US can now treat the sickest Americans with plasma from recovered patients ?ò∑ ,,
249,?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏Watching Defense Secretary Esper and General Milley Coronavirus Virtual Town Hall with Servicemembers @CSPAN https://www.c-span.org/video/?470637-1/defense-secretary-esper-general-milley-coronavirus-virtual-town-hall-servicemembers?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏?á∫?á∏,,
250,Leader McConnell: History will remember that we did the right thing. Senate Vote on #Coronavirus #StimulusPackage,,
251,Ginger may help with #coronavirus ,,
252,I?ôve never seen anyone use the term. I?ôve only seen coronavirus and COVID-19.,,
253,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
254,'Contagion' Medical Consultant Dr. Ian Lipkin Tests Positive for Coronavirus ??DylanDavid90???ò≥,,
255,New York state has 10 times the coronavirus cases California has. Why? ,,
256,Uh huh....what else guys?,,
257,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
258,The Sixers were the first to dive headlong into a deep and messy coronavirus-created quagmire. @JohnGonzalez:,,
259,The Uplight ?úUpsite?? Employee Meeting in the Time of the Novel Coronavirus https://ift.tt/3bq7LbK #coloradotech,,
260,"20-Somethings Now Realizing That They Can Get Coronavirus, Too??https://nyti.ms/2WH5rc0 #TRoom #politics",,
261,"Fuck #tRumpAdminVirus Designed, developed and deployed by USA. Is Novel Corona Virus Reservoir BioWar Syringe or Bat Soup? http://www.johnsonandtoxin.com/biowar_or_bat_soup.shtml",,
262,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
263,Italy Finally Turns the Corner -- Coronavirus Confirmed Cases and Number of Deaths Begin Trending Down https://www.thegatewaypundit.com/2020/03/italy-finally-turns-the-corner-coronavirus-confirmed-cases-and-number-of-deaths-begin-trending-down/ via @gatewaypundit,,
264,Three sailors on board US aircraft carrier have coronavirus -Navy ,,
265,Do you wanna be a fucking coronavirus victim? Do you want to be a victim? That's the question. ,,
266,The coronavirus bill will total $6 trillion. $4 trillion in liquidity from the Federal Reserve. $2 trillion in new money. Note that annual appropriations from Congress in a given fiscal year is around $1.2-4 trillion. Total expenditures are $4.3 trillion,,
267,And LA County says a youth under 18 has died as well - they don't say what age exactly but it's the first known case of a minor dying in the US from the coronavirus ,,
268,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
269,Oh if that?ôs all it is .. perhaps you should volunteer at one of the Coronavirus heavily impacted hospitals. You are young and I am sure they could use your help.,,
270,Pelosi Warns Republicans Not To Include &#8216;Poison Pills&#8217; in Coronavirus Legislation ,,
271,Really looking forward to him continuing these #coronavirus pressers.,,
272,The BEST EXPLANATION for why we need #socialdistancing and #selfquarantining was in chapter 8 of @StephenKing?ôs THE STAND. Listen here! http://youtu.be/jwN5vYGiZws #Coronavirus #COVID #COVID19,,
273,"There are now 1,097 confirmed coronavirus cases and 38 deaths in the state of Georgia.",,
274,"What would the headlines look like if they all say ________ tested positive for pneumonia. I had no idea the flu and walking pneumonia were such killers. The lesson of coronavirus isn't a glib, ""It's just the flu,"" dismissal. We need to do more about the seasonal flu.",,
275,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
276,"Must be those types that like to pray at church holding vipers. Yes, you?ôll lose your arm getting bitten by a rattler, just as Coronavirus will bite you and take your lungs.",,
277,coronavirus,,
278,When do we get inoculated and come up with a vaccine which protects us from the MSM? They are as dangerous as the the corona virus. Completely out of control and have been for years. They should be praying the April 12th goal of Easter unfolds. #VVDay #MSMisevil @realDonaldTrump,,
279,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
280,Corona virus shmuh shmoma shmirus am I right,,
281,Oyyy sana mangyari na agad panaginip kooo. Wala ng corona virus tapos balik na sa normal nating life,,
282,PSA: the media wants you to ignore Trump because his poll numbers are rising. #FakeNews #coronavirus #COVIDIOTS,,
283,@KyleClark They keep releasing data on coronavirus statistics of how many Men vs. Women are getting infected What happened to the other 28 sexual orientations? No statistics?,,
284,Islamic State Asks Allah to ?òIncrease Coronavirus Torment??of Infidels | Breitbart ,,
285,Joe Biden Against Canceling Democrat Convention Despite Coronavirus Pandemic | Breitbart ,,
286,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
287,So what you're telling me is that Texas has NOT contained the Corona Virus. Stay home my friends! Leave a rib on the BBQ for me! ,,
288,Doctors warn #coronavirus deaths could 'skyrocket' if restrictions are loosened as Trump wants #TrumpVirus,,
289,"You can tell when someone does not have anything to say when it comes to providing a plausible defense of @realDonaldTrump's inexcusable decision to not act immediately when U.S. IC warned him about the coronavirus. They revert to Trumpian catch phrases like ""fake news.""",,
290,#DemocratsAreDestroyingAmerica #DemocratsHateAmerica #Demexit #2020Census #ChineseWuhanVirus #ChineseVirus #StayHome #COVID19 #coronavirus #StayAtHomeOrder,,
291,"So now this.. Coronavirus updates: New Yorkers spreading virus, White House says ",,
292,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
293,Coronavirus Is Advancing. All Americans Need to Shelter in Place. ,,
294,"When you?ôre on the edge already... parenting during a crisis can be the thing that puts you over the top. If you see someone struggling with kids - reach out. Be a life saver. Coronavirus: American children are dying because of quarantine, doctors warn ",,
295,"""Chimp Sanctuaries Restrict Visits Over Concerns About the Coronavirus"" by BY JAMES GORMAN via NYT https://ift.tt/2Uepux4 #science",,
296,#NAME?,,
297,The Coronavirus Bunny!,,
298,Coronavirus is not an excuse for racism. Nothing is. Nothing is.,,
299,"Also, @JoeBiden isn't the one who cursed at a reporter then failed to show up for a critical vote on the coronavirus. That was @BernieSanders.",,
300,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
301,Trump Squashes Democrats??Partisan Demands For Funding Not Related To Coronavirus ,,
302,Bullshiit. Trump didn?ôt even show up to the impeachment removal trial. He had plenty of time months ago to open his damm mouth and tell us about the #coronavirus Also when senators went to him to plan&amp;prep he wouldn?ôt approve anything. We could have had tests &amp;masks ready ahead,,
303,That?ôs okay :D My anxiety over the coronavirus and the safety of my friends and family has crippled me into being a night owl,,
304,"Wow. This is not ?úa flu?? Also, ?úreopening the economy??despite a coronavirus pandemic is a recipe for disaster. Here in the US, hospitals would be overrun. And for their own sakes and for sakes of loved ones, many people will refuse to return to work. It would be tragic.",,
305,The US REGIME is COVERING UP the TRUTH of their MESS of CORONAVIRUS. This is blatant CENSORSHIP and these BRAVE WHISTLEBLOWERS are MUZZLED by an AUTHORITARIAN government! When will the WHO CONDEMN the regime? ,,
306,"The 68-year-old Polson man who's been stranded on a small cruise ship after a tour of Antarctica learned Tuesday he'll be able to disembark after all at Montevideo, Uruguay, without need of quarantine from the coronavirus. ",,
307,Uh huh...its FDA approved for malaria. Not for coronavirus. FDA approval for one thing is not license for all things.,,
308,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
309,How about we ignore the World's Sorest LOSER??? Hillary Clinton Responds to Coronavirus by Urging People To Ignore Trump's Guidance ,,
310,"Just How Bad Is It? Here?ôs The Economic Damage The Coronavirus Will Cause, According To Major Banks https://buff.ly/2QH0Z9o",,
311,STAY HEALTHY EVERYONE!! #limeandginger #healthyliving #healthylifestyle #healthy #healthyrecipes #healthyeating #lovingmyfamily #coronavirus https://www.instagram.com/p/B-Irad_lqtk/?igshid=5fs2vmicpzp8,,
312,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
313,Coronavirus Response: ?òIs The Cure Worse than the Disease??Question Unanswerable | National Review,,
314,.@CoveredCA released the first national projection of health care costs for the individual and employer markets due to the coronavirus (COVID-19) pandemic. Read more: https://bit.ly/3ahJaWp,,
315,?ò∫????I would say Mariam but I'm keeping it for my future daughter.. I mean If coronavirus didn't kill us ,,
316,#DemocratsAreDestroyingAmerica #DemocratsHateAmerica #Demexit #2020Census #ChineseWuhanVirus #ChineseVirus #StayHome #COVID19 #coronavirus #StayAtHomeOrder,,
317,I need to find a SINGLE MOTHER struggling because of #coronavirus (had a job but got laid off) and has *Venmo* We have one donor who wants to buy them Dinner Can one of my regular (we interact a lot) followers find me a SINGLE MOTHER who fits this description and I'll direct,,
318,"Kentucky Resident Attends ?òCoronavirus Party,??Contracts It | Breitbart ",,
319,Thousands to Attend Terrorist Funeral in Coronavirus-Ravaged Iran | Breitbart ,,
320,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
321,Teslarati: SpaceX gets first taste of coronavirus epidemic's consequences. Launch cancelled ,,
322,Trump Calls for American Independence Agenda to Defeat Coronavirus: U.S. Must Never Rely on a Foreign Country ,,
323,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
324,Coronavirus update: Deaths could increase if Trump loosens rules ,,
325,#Billdeblasio held a press conference on 1/24/20 about #coronavirus &amp; the threat to #NewYork. Why didn't #DeBlasio #AndrewCuomo do something sooner to protect #NewYorkers?? #covid19 #COVID19ny #covid19nyc #nyc #newyorklockdown #NYlockdown #NYCLockdown #Cuomo #NewYorkCoronavirus,,
326,In all fairness none of this stimulus has anything to do with CoronaVirus it?ôs just an excuse to spend money and Bill our lazy ass children for it.,,
327,Legendary playwright and activist Terrence McNally dies of coronavirus complications ,,
328,L.A. County reports first death of a coronavirus patient under 18 as cases top 660 ,,
329,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
330,"Someone tell Hillary the Chinese coronavirus has information directly incriminating the #ClintonCrimeFamily ... The problem will ""sort itself out"" quickly",,
331,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
332,"Me = ""cough a few times"" That = ""that's how the coronavirus starts!"" me = ""Maybe...but it's not likely why I'm coughing...""",,
333,Trump Calls for American Independence Agenda to Defeat Coronavirus: U.S. Must Never Rely on a Foreign Country https://www.breitbart.com/politics/2020/03/24/trump-calls-for-american-independence-agenda-to-defeat-coronavirus-u-s-must-never-rely-on-a-foreign-country/,,
334,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
335,Report: #Providence Business News suspends print edition during coronavirus crisis - Mar 24 @7:53 PM ET https://oddcrimes.com/static/2020/03/24/Report-Providence-Business-News-suspends-print-edition-during-coronavirus-crisis.php,,
336,"Coronavirus May Kill, But So Does Economic Disruption ",,
337,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
338,Coronavirus pandemic: Senate GOP aid bill doesn't help American workers - Business Insider ,,
339,The daily coronavirus update from the Merced County Department of Public Health. https://bit.ly/3dq8tHH #merced #coronavirus #mercedcounty #besafe,,
340,The Coronavirus Pandemic Forces Leaders To Decide: Save Lives Or The Eco... https://youtu.be/zIp8DxCdoBo via @YouTube,,
341,Forget being an American...is @realDonaldTrump even from the same planet as the rest of Humanity? #coronavirus ,,
342,".Oh look, our National Hall Monitor has arrived to call us racists & hoes. Who wants to tell her that due to her diminutive brow, the point sailed right over her adorable little head?",,
343,Value investor Bill Nygren: Stocks are cheap if you think economy will recover from coronavirus http://dlvr.it/RSVY9t,,
344,"Chaffey College lending 5,000 laptops to students amid coronavirus outbreak ",,
345,one of these days i have to. if the coronavirus would hurry up &amp; pass through i?ôd plan my month long trip down there. ?òπ,,
346,Trump versus the scientists: The president?ôs tug-of-war with experts over coronavirus policy ,,
347,"Coronavirus Could Drive Up Insurance Premiums For Tens Of Millions Of Americans, Projection Shows http://dlvr.it/RSVYCC via http://Matzav.com",,
348,?ö®ATTENTION ?ö® Due to the worldwide crisis of COVID-19 also known as the Coronavirus. Optic Clothing will still be participating in retail online. We have genuinely provided a discount code for the remaining 19 hours for our shoppers. Code: WASHYOURHANDS http://Opticclothingpdx.com,,
349,Trump?ôs Handling of Coronavirus Approved by 60% in Gallup Poll http://zpr.io/trWrM.,,
350,Finished writing tomorrow's weekly newsletter. Topics: - Another Wild Week - Coronavirus is not a Black Swan - Small Businesses in Crisis - The Sober Math of Pandemics Join over 2200 readers by subscribing here (free): ,,
351,Grocery stores are the coronavirus tipping point ,,
352,"US Has Potential of Becoming Coronavirus Epicenter, Says WHO http://dlvr.it/RSVY9X via http://Matzav.com",,
353,#DemocratsAreDestroyingAmerica #DemocratsHateAmerica #Demexit #2020Census #ChineseWuhanVirus #ChineseVirus #StayHome #COVID19 #coronavirus #StayAtHomeOrder,,
354,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
355,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
356,Hero. #coronavirus #COVID19,,
357,BREAKING: A point we'll remember on the timeline of tragedy Stephanie Ruhle - JUST NOW - talking about how the Jacob K. Javits Convention Center (enormous convention center) in New York City is about to be open *coronavirus overflow* Why do I have shades of Hurricane Katrina? ,,
358,"corona virus, smd",,
359,Bodies of coronavirus victims pile up in nursing homes after staff flee https://metro.co.uk/2020/03/24/bodies-found-piled-nursing-homes-hit-coronavirus-12447382/?ito=article.amp.share.top.twitter via @MetroUK,,
360,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
361,"And just about every day there's an issue with the Coronavirus site. Today, IDHW said it updated the site - but only updated part of it. Yesterday, it missed some numbers. This weekend it invented a county. This is vital data. It needs to be right.",,
362,"1659 Israelis have Coronavirus - ILTV Israel news - Mar. 24, 2020 https://youtu.be/Pgyjg9Lh4zY via @YouTube",,
363,"Chaffey College lending 5,000 laptops to students amid coronavirus outbreak ",,
364,Trump lawyer @JordanSekulow worships at the altar of Trump. @JordanSekulow = wants to use the coronavirus to deny women health care. Sick f*ck.,,
365,#SHUTDOWNKANSAS #CORONAVIRUS #CLOSECARGILL,,
366,"* didn't one of their 'savior' witnesses just come out in support of the POTUS...and call the virus by it's proper name...the Chinese Coronavirus? ""We want Bolton!""",,
367,"if my picture is gonna be used, can y'all at least put a disclaimer to say that I don't have coronavirus",,
368,Cuomo on coronavirus: We won't put elderly at risk to boost the economy https://youtu.be/uNOKmf9itXI via @YouTube,,
369,"Jason Collins, the NBA?ôS First Openly Gay Player, Has Coronavirus | Breitbart ",,
370,States say doctors are stockpiling trial coronavirus drugs ??for themselves ,,
371,Bono Enlists Stars To Join Him For Coronavirus Anthem And Video https://j.mp/2y71P9a,,
372,Idris Elba Slams Conspiracy Theory Surrounding His Coronavirus Testing https://j.mp/2wzEOLD,,
373,"Hell yeah if you know of a coronavirus party clue me in, I want to be one of the super powered people who doesn't have to worry about getting infected anymore ",,
374,@GavinNewsom how about bringing back @JohnChiangCA to Sacramento to help tackle fiscal challenges and fight #Sinophobia and #racism due to #Coronavirus?,,
375,"Coronavirus-related crimes capitalize on global fear, panic ",,
376,#NAME?,,
377,Just checked my 401(k) for the first time since all this Coronavirus mess...all I gotta say is...oof ?•¥?§ï,,
378,"Massachusetts, Michigan and Ohio joined several other states in declaring that medical marijuana dispensaries can remain open in light of stay-at-home orders designed to help combat the coronavirus outbreak. ",,
379,U.S. Congress still awaits $2 trillion coronavirus aid deal ,,
380,"Despite being a coronavirus skeptic, Elon Musk, CEO of Tesla and Space X donates 1,255 ventilators to Los Angeles County and pledges to build more as demands will come. Thank you for changing your mind Elon. #Tesla #CoronaviruslosAngeles",,
381,#denverlockdown #coronavirus #FlattenTheCurve,,
382,No Government should have Dictatorship type controls over finances and taxes. Coronavirus or wartime. Unacceptable!,,
383,So let?ôs talk about coronavirus all day everyday right? Sdfu ,,
384,At 6:05 pm today on the @RodArquette Show on @1059KNRS - @USAttyHuber on the large number of coronavirus-related scams that are popping up attempting to take advantage of people in this time of great fear,,
385,Sen Kennedy Blasts Dems For Blocking Chinese Coronavirus Aid ,,
386,I love her. DOCTOR EXPLAINS COVID-19 (CORONAVIRUS) https://youtu.be/3Uugj-zxA5E via @YouTube,,
387,Coronavirus cough***,,
388,"LA's -Mayor Eric Garcetti announced yesterday evening, to help customers get through any financial hardships that may occur as a result of the Coronavirus/COVID-19 pandemic, LADWP has deferred disconnections for non-payment during this crisis. https://www.ladwpnews.com/ladwp-will-not-disconnect-water-and-power-service-during-covid-19-emergency-response/",,
389,#WeWork offers bonuses of $100 per day to employees coming into work during coronavirus outbreak,,
390,?úInto You??by @juliamichaels but it?ôs not about your ex it?ôs about Coronavirus,,
391,#MyCovidStory #StayAtHomeOrder #FlattenTheCurve #COVID #CoronavirusLockdown #21daysLockdown #DieForTheDow #Covid19Out #coronavirus #CoronavirusOutbreak #StayHome,,
392,Jackson County shuts down parks as part of pandemic emergency. #Coronavirus #Medford #Ashland,,
393,?úBone Squad??https://www.teepublic.com/t-shirt/6427603-bone-squad?store_id=232538 https://www.teepublic.com/t-shirt/6432420-bone-squad-ii?store_id=232538 #dog #bone #tshirt #tshirts ?ëï ?¶¥?ê∂ &gt; Help support independent artists who will probably be left out of #coronavirus relief &lt; ,,
394,"At least they were able to get tests. US gov can't even get that right, stalled, delayed, finally found a tRump relative to make them Designed, developed and deployed by US. #tRumpAdminVirus Is Novel Corona Virus Reservoir BioWar Syringe or Bat Soup? http://www.johnsonandtoxin.com/biowar_or_bat_soup.shtml",,
395,Free Virtual Care Anywhere service from Dignity Health-St. Rose Dominican - for anyone in the area experiencing coronavirus-like symptoms. RT and spread this to everyone you can. This is an incredible community resource. #coronavirus - #VegasStrong,,
396,"ENTRAMOS EN CUARENTENA, CORONAVIRUS Y PINGUINOS SUELTOS / ZuriNoticias https://youtu.be/Z2f5aP2C97I v√≠a @YouTube @YouTubeMexico @YouTubeEspanol @ElJuanpaZurita @andymtzurita @paumtzurita #ZuriNoticias #COVID19 #YoMeQuedoEnCasa @anitta_0924",,
397,?òThis is a massive scandal?? Trump FDA grants drug company exclusive claim on promising coronavirus drug ,,
398,"Holy Cow! Bill Gates doesn?ôt mince words, and speaks truth on @realDonaldTrump FAILED preparation to respond to #coronavirus, and how the notion of scaling back shutdowns are absurd. MUST READ! https://www.cnbc.com/2020/03/24/bill-gates-us-missed-its-chance-to-avoid-coronavirus-shutdown.html",,
399,El coronavirus pudo m√°s que los zombies: The Walking Dead se queda sin cierre de tempo... ,,
400,El coronavirus pudo m√°s que los zombies: The Walking Dead se queda sin cierre de tempo... ,,
401,If @thinaar doesn't write a play that's just 12 characters in a Zoom meeting I am going to expose myself to coronavirus,,
402,The influenza season never makes the news!! Coronavirus has nothing on the flu!!! The numbers below are from October til now!! Yikes!!! ,,
403,"Beto on Twitter: This kind of numbnuttery will kill people in Texas. Young as well as old. We need a state-wide shelter in place order to stop the spread of coronavirus and save hundreds of thousands of lives. Beto on Instagram Live: Stay the fuck at home. Thank you, Beto!",,
404,Is this hope? False hope? What would CNN say? #LibertyUniversity New York hospitals giving patients 16 times the daily recommended dose of vitamin C to fight coronavirus ,,
405,Grocery stores are the coronavirus tipping point ,,
406,?§óI just donated to United Way LA's Coronavirus Emergency TeLAthon. Make your donation here: ,,
407,"#Coronavirus daily stat and info update - infection rates, mortality rates, impacts and more updated constantly. #covid-19 #2019nCoV... -&gt; http://rviv.ly/xRBz0Q #featured",,
408,"Coronavirus en Italia: el pueblo que logr√≥ contener la expansi√≥n del virus con un experimento ""√∫n.. #Tom√©monosUnTinto @cafeaguilaroja @VictorTamayoV #GobernadorRisaralda @IngenieriaMacg Inf. 342 36 68 https://es-us.deportes.yahoo.com/noticias/coronavirus-italia-pueblo-logr%C3%B3-contener-054743327.html?soc_src=hl-viewer&amp;soc_trk=tw v√≠a @YahooDeportes",,
409,Coronavirus Patient Says Malaria Drug Saved His Life https://dailycaller.com/2020/03/24/coronavirus-covid-19-patient-malaria-drug-saved-life/ via @dailycaller,,
410,#WorkFromHome #coronavirus ,,
411,"LMAO. or the Coronavirus is big, but God is Bigger. like stfu lmaoo",,
412,Coronavirus: What this crisis reveals about US - and its president ,,
413,"New York City will initiate a pilot program of closing two streets per borough for outdoor exercise and for people to get fresh air, Mayor Bill de Blasio said. Every site will have authorities who will enforce social distancing policies due to coronavirus. ",,
414,"Kentucky governor says person tested positive for virus after attending ""coronavirus party"" This is not a big party! Agree!?",,
415,"Well........they finally caught them with their hands in the cookie jar, war doesn't even do that! #coronavirus",,
416,Mexico?ôs coronavirus fight has just begun. Doctors say they?ôre already running out of masks ,,
417,Infecci√≥n de coronavirus se acelera en estado de Nueva York ,,
418,Coronavirus al reves es surivanoroc que no significa nada igual que yo para ti,,
419,"@NYCMayor can you blame @POTUS for this? #Brooklyn principal in ICU after fellow #DOE staffer dies from coronavirus https://nypost.com/2020/03/24/brooklyn-principal-in-icu-after-fellow-doe-staffer-dies-from-coronavirus/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypmetro Leave the #gym, #wakeup and get to work @NYCMayor",,
420,There are no words for this young man and his fighting against coronavirus. No PPE #wtpTEAM #wtp__2020 #MyCovidStory,,
421,"My team lead just offered for me to leave at 8 instead of 9 since I've zoned Toys, Domestics, AND ELECTRONICS before we even hit the 5pm huddle. I thought about it, but getting paid $16 for an extra hour of walking around bored off my ass is kinda worth the stay, lol #coronavirus",,
422,corona virus fa√ßa o que voce tem que fazer com esse energ√∫meno,,
423,I just saw on CNN that white men over 60 are more than twice as likely to die from coronavirus. Shit! Gimme a cigar and that bottle of bourbon! I have to ponder this new reality!,,
424,Hey @Chargers marketing hopefuls: You know what would sell more of these Easter dresses...and tickets (in LA)? Make a big #coronavirus donation somewhere. Quite obvious you?ôre using a pandemic?ôs platform to sell this snot rag. #BoltUp #Chargers #NFL @NFL,,
425,Every. Damn. Debate. Every corporate media interview. #corporate #oligarchy #coup $6 trillion for them. Not for #MedicareForAll. Not to #CancelStudentDebt. Not for a #GreenNewDeal. Not for #HousingForAll. For #WallStreet. The evil #GOP/#Democrats cabal. #coronavirus ,,
